VVc	yl	ld50	Fd50	dsl	Source
0.95	2.083333333	461.5384615	4.069497416	1.333333333	Dey&Barbhuiya2005
0.95	0.5416666667	230.7692308	2.724970851	1.175	Dey&Barbhuiya2005
0.95	0.8833333333	230.7692308	2.932068636	1.425	Dey&Barbhuiya2005
0.95	1.241666667	230.7692308	3.07376712	1.583333333	Dey&Barbhuiya2005
0.95	1.666666667	230.7692308	3.193665838	1.675	Dey&Barbhuiya2005
0.95	2.083333333	230.7692308	3.291764789	1.691666667	Dey&Barbhuiya2005
0.95	0.5166666667	131.8681319	2.529537974	1.291666667	Dey&Barbhuiya2005
0.95	1	131.8681319	2.809682245	1.625	Dey&Barbhuiya2005
0.95	1.5	131.8681319	2.98271253	1.858333333	Dey&Barbhuiya2005
0.95	1.666666667	131.8681319	3.015670679	1.9	Dey&Barbhuiya2005
0.95	2.083333333	131.8681319	3.122784665	1.925	Dey&Barbhuiya2005
0.95	0.775	64.51612903	2.651092516	1.791666667	Dey&Barbhuiya2005
0.95	1.233333333	64.51612903	2.875859056	2.25	Dey&Barbhuiya2005
0.95	1.666666667	64.51612903	3.019940171	2.391666667	Dey&Barbhuiya2005
0.95	2.083333333	64.51612903	3.123678574	2.441666667	Dey&Barbhuiya2005
1	0.512	192.3076923	2.712031511	0.956	Nasrollahi2008
1	0.256	384.6153846	2.712031511	0.702	Nasrollahi2008
1.04	0.328	288.4615385	2.783298493	0.808	Nasrollahi2008
1.05	0.1952	480.7692308	2.802424906	0.504	Nasrollahi2008
1.05	0.1626666667	576.9230769	2.802424906	0.4733333333	Nasrollahi2008
1	0.512	192.3076923	2.712031511	0.424	Nasrollahi2008
1	0.3413333333	288.4615385	2.712031511	0.3173333333	Nasrollahi2008
0.98	0.26	384.6153846	2.671562064	0.26	Nasrollahi2008
1	0.512	192.3076923	2.712031511	0.144	Nasrollahi2008
0.98	0.26	384.6153846	2.671562064	0.122	Nasrollahi2008
1	0.3386666667	288.4615385	2.704950457	0.1173333333	Nasrollahi2008
1	0.3413333333	288.4615385	2.712031511	0.05333333333	Nasrollahi2008
1	0.512	192.3076923	2.712031511	0.076	Nasrollahi2008
1	0.254	384.6153846	2.704950457	0.058	Nasrollahi2008
0.75	0.6666666667	365.8536585	2.4303825	0.9066666667	Coleman2003
0.68	0.6666666667	365.8536585	2.169984375	0.63	Coleman2003
0.58	0.6666666667	365.8536585	1.90958625	0.4666666667	Coleman2003
